mol_id,warm_has_success,warm_n_entries,warm_n_success,final_n,final_has_success,final_n_success,final_qed_max,final_sim_max,overlap_any,overlap_with_ws_success,rediscovered_ws_success
0,True,18,1,100,False,0,0.87961155,1.0,0,0,False
1,True,12,1,100,False,0,0.94570327,1.0,0,0,False
2,True,9,1,100,True,93,0.93308961,1.0,0,0,False
3,False,190,0,100,False,0,0.92954648,1.0,0,0,False
4,True,4,1,100,True,99,0.9011237,1.0,0,0,False
5,True,11,1,100,False,0,0.9274165,1.0,0,0,False
6,True,7,1,100,False,0,0.93014669,1.0,0,0,False
7,True,7,1,100,False,0,0.91688406,1.0,0,0,False
8,True,26,1,100,False,0,0.94289899,1.0,0,0,False
9,True,51,1,100,False,0,0.94432849,1.0,0,0,False
10,True,143,1,100,False,0,0.92812067,1.0,0,0,False
11,True,2,1,100,False,0,0.92786276,1.0,0,0,False
12,True,2,1,100,False,0,0.93165779,1.0,0,0,False
13,True,4,1,100,True,97,0.92940921,1.0,0,0,False
14,True,20,1,100,False,0,0.91309845,1.0,0,0,False
15,False,28,0,100,True,9,0.93260968,1.0,0,0,False
16,True,74,1,100,False,0,0.94572788,1.0,0,0,False
17,True,73,1,100,False,0,0.9135021,1.0,0,0,False
18,False,51,0,100,False,0,0.94398326,1.0,0,0,False
19,False,30,0,100,True,88,0.90364212,1.0,0,0,False
20,True,20,1,100,True,87,0.9072994,1.0,0,0,False
21,True,16,1,100,True,96,0.90785646,1.0,0,0,False
22,True,3,1,100,True,86,0.92859125,1.0,0,0,False
23,True,23,1,100,False,0,0.94494689,1.0,0,0,False
24,True,22,1,100,True,99,0.93855935,1.0,0,0,False
25,False,48,0,100,True,97,0.90093797,1.0,0,0,False
26,True,5,1,100,False,0,0.94757491,1.0,0,0,False
27,True,3,1,100,False,0,0.94187409,1.0,0,0,False
28,False,70,0,100,False,0,0.94100785,1.0,0,0,False
29,True,4,1,100,False,0,0.92454308,1.0,0,0,False
30,True,2,1,100,False,0,0.94070601,1.0,0,0,False
31,True,8,1,100,True,90,0.90798974,1.0,0,0,False
32,True,11,1,100,False,0,0.93237948,1.0,0,0,False
33,True,14,1,100,False,0,0.94355762,1.0,0,0,False
34,True,2,1,100,False,0,0.94029713,1.0,0,0,False
35,False,36,0,100,True,68,0.91427177,1.0,0,0,False
36,False,27,0,100,True,99,0.9178198,1.0,0,0,False
37,True,5,1,100,False,0,0.92366993,1.0,0,0,False
38,False,70,0,100,False,0,0.94290853,1.0,0,0,False
39,True,18,1,100,False,0,0.91060883,1.0,0,0,False
40,True,10,1,100,False,0,0.9283734,1.0,0,0,False
41,True,12,1,100,False,0,0.93983656,1.0,0,0,False
42,True,17,1,100,False,0,0.92945147,1.0,0,0,False
43,True,42,1,100,True,98,0.90613526,1.0,0,0,False
44,False,56,0,100,True,3,0.93328595,1.0,0,0,False
45,True,12,1,100,False,0,0.94552296,1.0,0,0,False
46,True,44,1,100,False,0,0.94750708,1.0,0,0,False
47,True,60,1,100,False,0,0.94514936,1.0,0,0,False
48,True,9,1,100,True,89,0.90736026,1.0,0,0,False
49,False,75,0,100,False,0,0.92889607,1.0,0,0,False
50,True,26,1,100,True,99,0.9155826,1.0,0,0,False
51,True,8,1,100,True,45,0.93624341,1.0,0,0,False
52,False,59,0,100,True,94,0.9421652,1.0,0,0,False
53,True,3,1,100,True,99,0.91838318,1.0,0,0,False
54,True,2,1,100,True,94,0.91190672,1.0,0,0,False
55,True,44,1,100,True,94,0.91655284,1.0,0,0,False
56,True,8,1,100,False,0,0.9336291,1.0,0,0,False
57,True,44,1,100,True,94,0.90639079,1.0,0,0,False
58,True,24,1,100,False,0,0.94215167,1.0,0,0,False
59,True,2,1,100,False,0,0.94676334,1.0,0,0,False
60,True,3,1,100,False,0,0.94302964,1.0,0,0,False
61,True,2,1,100,False,0,0.94817752,1.0,0,0,False
62,True,6,1,100,False,0,0.94409269,1.0,0,0,False
63,False,86,0,100,True,95,0.90600866,1.0,0,0,False
64,True,3,1,100,True,94,0.92471051,1.0,0,0,False
65,True,5,1,100,True,95,0.91632038,1.0,0,0,False
66,True,3,1,100,True,98,0.9234938,1.0,0,0,False
67,True,32,1,100,False,0,0.94318449,1.0,0,0,False
68,False,93,0,100,False,0,0.94576353,1.0,0,0,False
69,True,31,1,100,False,0,0.92979366,1.0,0,0,False
70,True,5,1,100,True,98,0.91675645,1.0,0,0,False
71,True,5,1,100,False,0,0.94562256,1.0,0,0,False
72,True,7,1,100,False,0,0.94789749,1.0,0,0,False
73,True,20,1,100,False,0,0.94057298,1.0,0,0,False
74,True,3,1,100,True,98,0.91672033,1.0,0,0,False
75,True,49,1,100,False,0,0.90420824,1.0,0,0,False
76,True,2,1,100,True,96,0.9276666,1.0,0,0,False
77,True,3,1,100,False,0,0.9132002,1.0,0,0,False
78,False,28,0,100,False,0,0.94612694,1.0,0,0,False
79,True,11,1,100,False,0,0.91893899,1.0,0,0,False
80,True,4,1,100,False,0,0.93296593,1.0,0,0,False
81,True,46,1,100,True,98,0.91132468,1.0,0,0,False
82,True,50,1,100,False,0,0.94088727,1.0,0,0,False
83,True,25,1,100,True,96,0.91487491,1.0,0,0,False
84,True,5,1,100,False,0,0.93276751,1.0,0,0,False
85,True,22,1,100,False,0,0.94787562,1.0,0,0,False
86,True,19,1,100,False,0,0.93377733,1.0,0,0,False
87,True,20,1,100,True,99,0.91306055,1.0,0,0,False
88,True,2,1,100,False,0,0.93371934,1.0,0,0,False
89,True,7,1,100,False,0,0.94297314,1.0,0,0,False
90,True,21,1,100,False,0,0.94714773,1.0,0,0,False
91,True,4,1,100,True,95,0.90775627,1.0,0,0,False
92,True,4,1,100,True,25,0.94306004,1.0,0,0,False
93,True,46,1,100,False,0,0.94755977,1.0,0,0,False
94,True,76,1,100,True,99,0.90913665,1.0,0,0,False
95,False,68,0,100,False,0,0.93142104,1.0,0,0,False
96,True,25,1,100,True,94,0.9349457,1.0,0,0,False
97,True,18,1,100,False,0,0.94260198,1.0,0,0,False
98,False,86,0,100,False,0,0.93101001,1.0,0,0,False
99,True,9,1,100,True,98,0.91240728,1.0,0,0,False
100,True,48,1,100,False,0,0.93748885,1.0,0,0,False
101,True,2,1,100,False,0,0.93502867,1.0,0,0,False
102,True,3,1,100,False,0,0.94618726,1.0,0,0,False
103,True,28,1,100,False,0,0.93139613,1.0,0,0,False
104,True,18,1,100,False,0,0.94365644,1.0,0,0,False
105,False,80,0,100,False,0,0.94329476,1.0,0,0,False
106,True,19,1,100,False,0,0.94619071,1.0,0,0,False
107,True,55,1,100,False,0,0.94532657,1.0,0,0,False
108,False,45,0,100,False,0,0.92668283,1.0,0,0,False
109,True,3,1,100,True,98,0.92385626,1.0,0,0,False
110,True,11,1,100,True,89,0.94061673,1.0,0,0,False
111,True,18,1,100,False,0,0.91056633,1.0,0,0,False
112,True,57,1,100,False,0,0.92230427,1.0,0,0,False
113,True,13,1,100,False,0,0.94733089,1.0,0,0,False
114,True,3,1,100,False,0,0.92365122,1.0,0,0,False
115,True,3,1,100,True,30,0.93197507,1.0,0,0,False
116,False,14,0,100,False,0,0.9455198,1.0,0,0,False
117,True,28,1,100,True,86,0.92056143,1.0,0,0,False
118,True,8,1,100,False,0,0.9446311,1.0,0,0,False
119,True,20,1,100,True,96,0.92153794,1.0,0,0,False
120,False,107,0,100,True,96,0.91609871,1.0,0,0,False
121,True,24,1,100,False,0,0.9298588,1.0,0,0,False
122,True,24,1,100,True,99,0.94689476,1.0,0,0,False
123,False,43,0,100,False,0,0.93987423,1.0,0,0,False
124,True,26,1,100,False,0,0.90534717,1.0,0,0,False
125,True,3,1,100,True,94,0.91861188,1.0,0,0,False
126,True,82,1,100,True,85,0.93096912,1.0,0,0,False
127,True,27,1,100,True,85,0.92816007,1.0,0,0,False
128,False,23,0,100,True,96,0.90891379,1.0,0,0,False
129,True,34,1,100,True,99,0.90152621,1.0,0,0,False
130,True,2,1,100,False,0,0.93328768,1.0,0,0,False
131,True,42,1,100,False,0,0.9478454,1.0,0,0,False
132,True,37,1,100,True,98,0.91256434,1.0,0,0,False
133,False,38,0,100,False,0,0.94600677,1.0,0,0,False
134,True,23,1,100,False,0,0.94609201,1.0,0,0,False
135,True,4,1,100,False,0,0.94464129,1.0,0,0,False
136,True,29,1,100,True,91,0.92664242,1.0,0,0,False
137,True,3,1,100,False,0,0.93210113,1.0,0,0,False
138,True,35,1,100,False,0,0.92695391,1.0,0,0,False
139,True,2,1,100,False,0,0.94700867,1.0,0,0,False
140,True,8,1,100,False,0,0.92467034,1.0,0,0,False
141,True,52,1,100,False,0,0.94149995,1.0,0,0,False
142,True,53,1,100,False,0,0.94716787,1.0,0,0,False
143,True,15,1,100,True,96,0.91226554,1.0,0,0,False
144,True,4,1,100,False,0,0.90510696,1.0,0,0,False
145,False,28,0,100,True,97,0.92431915,1.0,0,0,False
146,True,9,1,100,False,0,0.94625688,1.0,0,0,False
147,True,3,1,100,True,96,0.90963978,1.0,0,0,False
148,False,63,0,100,False,0,0.94225621,1.0,0,0,False
149,True,49,1,100,False,0,0.94322556,1.0,0,0,False
150,True,3,1,100,True,97,0.91543549,1.0,0,0,False
151,False,25,0,100,False,0,0.93655956,1.0,0,0,False
152,True,3,1,100,False,0,0.94167364,1.0,0,0,False
153,True,4,1,100,False,0,0.90583277,1.0,0,0,False
154,True,3,1,100,False,0,0.9327178,1.0,0,0,False
155,True,6,1,100,False,0,0.93009293,1.0,0,0,False
156,True,2,1,100,False,0,0.93254077,1.0,0,0,False
157,True,48,1,100,True,96,0.90062255,1.0,0,0,False
158,True,9,1,100,False,0,0.93375063,1.0,0,0,False
159,True,7,1,100,False,0,0.90740001,1.0,0,0,False
160,False,70,0,100,False,0,0.92334729,1.0,0,0,False
161,True,3,1,100,True,97,0.94785821,1.0,0,0,False
162,False,33,0,100,False,0,0.9080168,1.0,0,0,False
163,False,87,0,100,True,98,0.92186439,1.0,0,0,False
164,True,69,1,100,False,0,0.92726517,1.0,0,0,False
165,True,22,1,100,False,0,0.93154442,1.0,0,0,False
166,True,14,1,100,True,85,0.91442698,1.0,0,0,False
167,True,6,1,100,True,99,0.93658125,1.0,0,0,False
168,True,2,1,100,False,0,0.90303701,1.0,0,0,False
169,True,3,1,100,False,0,0.93165386,1.0,0,0,False
170,False,70,0,100,True,96,0.9466728,1.0,0,0,False
171,True,16,1,100,False,0,0.91556716,1.0,0,0,False
172,False,90,0,100,False,0,0.9429695,1.0,0,0,False
173,True,4,1,100,False,0,0.94051361,1.0,0,0,False
174,True,29,1,100,False,0,0.94338697,1.0,0,0,False
175,True,23,1,100,False,0,0.94453388,1.0,0,0,False
176,True,5,1,100,False,0,0.93415546,1.0,0,0,False
177,True,4,1,100,False,0,0.92072481,1.0,0,0,False
178,False,117,0,100,True,94,0.92940694,1.0,0,0,False
179,True,15,1,100,False,0,0.94790298,1.0,0,0,False
180,True,2,1,100,False,0,0.91606694,1.0,0,0,False
181,False,71,0,100,False,0,0.94116908,1.0,0,0,False
182,True,21,1,100,False,0,0.92441636,1.0,0,0,False
183,True,6,1,100,True,91,0.90106362,1.0,0,0,False
184,True,12,1,100,False,0,0.93028551,1.0,0,0,False
185,True,65,1,100,True,99,0.91459072,1.0,0,0,False
186,True,4,1,100,False,0,0.92449182,1.0,0,0,False
187,True,3,1,100,False,0,0.93202126,1.0,0,0,False
188,True,20,1,100,False,0,0.9384653,1.0,0,0,False
189,True,6,1,100,False,0,0.937747,1.0,0,0,False
190,False,53,0,100,True,96,0.92983907,1.0,0,0,False
191,True,4,1,100,False,0,0.94392908,1.0,0,0,False
192,True,98,1,100,False,0,0.93272984,1.0,0,0,False
193,True,3,1,100,True,92,0.92024529,1.0,0,0,False
194,True,7,1,100,True,87,0.91584563,1.0,0,0,False
195,True,43,1,100,False,0,0.9458468,1.0,0,0,False
196,True,9,1,100,False,0,0.94253212,1.0,0,0,False
197,False,65,0,100,True,95,0.92598212,1.0,0,0,False
198,False,53,0,100,False,0,0.93250763,1.0,0,0,False
199,True,18,1,100,False,0,0.94245636,1.0,0,0,False
